venta_id,fecha,hora,sucursal_id,producto_id,cantidad,total,metodo_pago
1,2025-04-09,14:51,1,54,1,81.0,efectivo
3,2025-08-21,12:32,8,99,2,462.0,tarjeta
4,2026-02-02,07:57,7,9,2,168.2,tarjeta 
5,2025-09-04,08:10,1,94,1,380.0,efectivo
6,2025-11-22,09:07,3,5,1,43.7,efectivo
7,2025-04-07,07:05,1,49,1,52.0,tarjeta 
8,2026-02-12,21:37,6,37,1,57.2,efectivo
9,2025-01-31,18:37,6,99,2,462.0,tarjeta 
10,2024-12-06,21:46,8,45,1,85.8,tarjeta
11,2025-12-25,10:50,7,82,3,543.75,app
12,2025-08-11,18:24,1,96,3,630.0,efectivo
13,2026-04-23,12:19,3,6,3,159.6,tarjeta 
14,2026-03-08,08:24,3,5,2,87.4,efectivo
15,2024-12-14,21:46,3,74,2,34.2,efectivo
16,2026-02-15,07:16,1,3,1,54.0,tarjeta 
17,2025-09-21,20:19,2,122,1,36.75,monedero
18,2026-02-03,16:22,5,27,1,56.7,tarjeta
19,2025-07-10,08:01,2,40,2,121.8,efectivo
20,2026-05-02,19:56,7,115,1,40.6,tarjeta
21,2025-05-28,15:33,2,63,1,65.1,monedero
22,2025-11-24,21:19,6,5,1,50.6,app
23,2025-11-01,08:46,2,87,1,99.75,tarjeta
24,2025-06-06,15:20,8,23,2,105.6,tarjeta 
25,2025-06-07,08:12,7,42,1,121.8,tarjeta 
26,2025-05-08,08:43,6,19,1,37.4,efectivo
27,2025-05-05,07:24,1,93,3,630.0,monedero
28,2025-11-27,10:45,4,34,1,52.0,tarjeta 
29,2026-03-23,17:35,1,59,3,165.0,tarjeta 
30,2025-11-13,14:01,3,19,2,64.6,tarjeta 
31,2024-12-16,10:34,5,10,1,37.8,efectivo
32,2025-09-23,19:00,7,125,1,69.6,efectivo
33,2026-01-19,13:45,3,24,3,165.3,tarjeta
34,2025-03-08,14:10,4,103,2,230.0,app
35,2026-04-19,16:20,4,104,2,300.0,efectivo
36,2025-04-13,18:10,1,52,1,55.0,efectivo
37,2025-01-09,18:27,6,26,1,48.4,tarjeta
38,2025-12-29,13:45,6,143,1,60.5,tarjeta
39,2026-04-28,09:13,2,82,1,131.25,tarjeta 
40,2026-01-14,09:55,5,9,1,60.9,efectivo
41,2025-12-01,19:46,3,135,2,304.0,efectivo
42,2024-12-10,19:23,5,69,1,23.1,tarjeta 
43,2025-09-17,18:55,4,25,3,102.0,tarjeta
44,2026-01-18,11:31,3,57,1,68.4,tarjeta 
45,2026-02-03,17:08,3,64,1,68.4,efectivo
46,2026-04-09,10:14,7,50,3,282.75,tarjeta
47,2026-02-17,13:45,6,5,2,101.2,tarjeta
48,2026-03-27,15:09,4,29,1,46.0,tarjeta 
49,2025-02-02,08:05,6,19,2,74.8,monedero
50,2026-01-14,10:38,8,16,1,37.4,tarjeta
51,2025-03-25,10:07,4,67,3,66.0,monedero
52,2026-04-10,09:10,2,60,2,130.2,efectivo
53,2026-01-31,18:02,7,4,1,52.2,tarjeta
54,2026-01-19,09:54,6,5,1,50.6,tarjeta
55,2025-06-17,13:35,1,23,1,48.0,efectivo
56,2026-01-06,14:34,4,116,2,110.0,efectivo
57,2026-04-06,09:03,5,92,1,126.0,tarjeta
58,2026-01-11,16:29,3,105,1,275.5,efectivo
59,2024-12-24,11:10,6,1,3,112.2,efectivo
60,2025-11-27,12:49,1,123,1,58.0,efectivo
61,2025-09-29,20:24,5,128,2,54.6,efectivo
62,2025-09-15,14:41,7,24,1,84.1,tarjeta
63,2025-01-18,11:43,1,124,2,96.0,app
64,2025-12-09,07:21,3,59,2,104.5,app
65,2025-10-12,17:56,1,44,1,65.0,monedero
66,2026-02-07,09:29,6,47,1,78.1,efectivo
67,2026-03-18,13:52,1,5,1,46.0,tarjeta
68,2025-06-18,10:47,7,40,1,84.1,tarjeta
69,2025-02-12,17:35,8,111,3,105.6,tarjeta 
70,2026-01-15,10:04,1,52,1,55.0,efectivo
71,2025-04-16,18:49,5,36,3,245.7,tarjeta
72,2026-04-15,09:19,8,19,1,37.4,efectivo
73,2025-06-21,09:21,6,27,2,118.8,efectivo
74,2024-12-31,10:02,7,143,1,79.75,efectivo
75,2026-03-10,10:49,6,68,1,28.6,efectivo
76,2025-08-10,07:30,2,20,2,92.4,tarjeta 
77,2026-01-11,19:51,6,9,3,191.4,efectivo
78,2026-04-18,09:55,8,26,1,48.4,tarjeta
79,2025-02-25,13:06,5,112,1,29.4,tarjeta
80,2025-10-25,16:51,1,88,1,125.0,efectivo
81,2026-03-19,18:16,3,81,3,205.2,tarjeta 
82,2025-01-06,13:10,5,59,1,57.75,efectivo
83,2026-04-13,09:17,2,66,2,151.2,efectivo
84,2024-12-16,19:05,1,36,1,78.0,efectivo
85,2025-03-17,19:39,1,51,1,78.0,efectivo
86,2026-02-14,17:11,1,75,2,52.0,efectivo
87,2026-03-22,09:23,2,123,1,60.9,tarjeta
88,2025-01-04,21:16,1,1,1,34.0,app
89,2026-03-10,16:12,6,127,2,-57.2,tarjeta
90,2025-05-05,10:02,2,31,3,173.25,efectivo
91,2025-01-01,18:27,3,39,3,222.3,tarjeta
92,2025-05-25,14:08,3,36,1,74.1,efectivo
94,2024-12-19,07:45,5,126,2,42.0,tarjeta 
95,2026-05-09,08:52,2,37,3,163.8,tarjeta
96,2025-11-19,19:29,1,124,1,48.0,tarjeta
97,2025-12-30,10:55,7,58,2,139.2,tarjeta 
98,2024-12-28,14:21,5,52,1,57.75,efectivo
99,2026-05-10,17:41,1,58,1,48.0,tarjeta 
100,2026-03-26,10:41,2,130,2,42.0,app
101,2025-10-05,16:28,2,36,2,163.8,tarjeta 
102,2026-01-14,19:21,7,57,1,104.4,tarjeta
103,2025-07-13,21:21,5,30,3,176.4,efectivo
104,2025-07-11,18:03,5,71,2,54.6,efectivo
105,2025-05-29,10:02,2,131,3,81.9,efectivo
106,2025-03-03,09:45,1,86,1,95.0,tarjeta 
107,2025-02-04,15:04,2,76,2,37.8,tarjeta 
108,2025-06-12,08:37,2,105,1,304.5,tarjeta 
109,2025-12-04,17:51,6,50,1,71.5,tarjeta
110,2025-01-05,17:17,3,113,1,42.75,efectivo
111,2025-01-12,12:20,3,130,2,38.0,tarjeta 
112,2025-01-18,19:24,6,60,1,68.2,tarjeta 
113,2024-12-21,07:04,5,12,2,117.6,monedero
114,2025-02-17,20:02,1,46,1,58.0,efectivo
115,2025-01-31,16:29,1,14,3,138.0,tarjeta
116,2025-02-10,11:59,1,119,2,136.0,tarjeta 
117,2025-06-15,10:35,7,92,2,348.0,efectivo
118,2025-05-21,10:32,8,48,3,277.2,efectivo
119,2026-01-12,15:19,7,85,2,319.0,tarjeta 
120,2025-11-09,10:12,1,120,1,48.0,efectivo
121,2025-07-07,17:08,1,57,2,144.0,tarjeta
122,2026-05-09,09:35,8,23,3,158.4,efectivo
123,2025-03-14,17:52,8,56,1,60.5,tarjeta 
124,2025-08-01,15:56,8,113,3,148.5,efectivo
125,2025-11-05,07:10,2,142,2,109.2,tarjeta
126,2025-09-09,21:23,8,43,2,114.4,efectivo
127,2025-01-31,08:25,5,4,1,37.8,efectivo
128,2026-02-22,10:11,1,19,1,34.0,efectivo
129,2025-01-20,09:44,5,44,1,68.25,efectivo
130,2025-04-11,19:53,4,3,1,54.0,app
131,2025-11-02,07:23,5,2,1,46.2,efectivo
132,2025-09-11,14:02,5,9,2,121.8,efectivo
133,2025-11-22,11:19,5,39,3,245.7,tarjeta
134,2026-03-14,19:17,2,46,3,182.7,tarjeta
135,2026-05-10,12:05,4,100,2,760.0,efectivo
136,2026-02-08,11:19,7,59,1,79.75,tarjeta 
137,2026-05-04,12:51,3,38,2,123.5,app
138,2025-10-07,17:21,5,21,2,113.4,efectivo
139,2026-04-06,07:35,6,119,1,74.8,efectivo
140,2026-04-04,19:33,2,42,2,176.4,tarjeta
141,2026-04-22,12:22,1,39,3,234.0,efectivo
142,2026-05-07,14:56,7,15,1,81.2,tarjeta 
143,2025-02-26,14:15,1,135,3,480.0,tarjeta
144,2025-04-03,19:36,6,8,2,105.6,tarjeta
145,2026-03-07,12:10,3,69,1,20.9,tarjeta 
146,2025-08-23,18:38,8,8,1,52.8,tarjeta
147,2026-05-12,07:54,8,23,2,105.6,efectivo
148,2025-03-04,08:58,6,61,1,79.2,efectivo
150,2026-05-18,17:29,5,69,2,46.2,app
151,2026-03-08,08:51,7,6,1,81.2,tarjeta
152,2025-06-03,07:16,1,43,3,156.0,efectivo
153,2025-11-15,10:45,8,122,3,115.5,efectivo
154,2024-12-24,11:35,2,28,2,75.6,efectivo
155,2024-12-06,08:19,1,21,3,162.0,efectivo
156,2025-06-24,07:07,6,74,2,39.6,tarjeta
157,2025-11-25,15:00,6,131,2,57.2,efectivo
158,2025-12-27,18:05,1,30,1,56.0,efectivo
159,2025-02-25,16:30,2,92,3,378.0,efectivo
160,2025-03-27,10:42,3,51,2,148.2,tarjeta
161,2026-04-13,16:40,2,38,1,68.25,efectivo
162,2025-01-23,10:45,5,112,2,58.8,tarjeta
163,2025-02-02,20:49,1,89,1,120.0,efectivo
164,2025-06-15,13:31,8,12,2,123.2,app
165,2025-01-17,19:35,7,21,1,78.3,monedero
166,2026-01-09,10:42,5,9,1,60.9,efectivo
167,2025-12-28,14:30,2,42,1,88.2,tarjeta 
168,2025-05-20,14:54,6,27,3,178.2,tarjeta 
169,2025-10-13,07:42,2,21,2,113.4,monedero
170,2025-12-17,13:12,3,144,1,57.0,tarjeta
171,2026-02-01,17:59,7,135,2,464.0,efectivo
172,2026-04-28,16:45,6,35,1,71.5,tarjeta
173,2026-03-04,21:49,5,40,1,60.9,tarjeta
174,2026-04-26,10:58,4,124,2,96.0,tarjeta
175,2025-06-18,15:32,3,44,1,61.75,tarjeta 
176,2026-02-27,19:56,6,31,1,60.5,tarjeta
177,2024-12-19,16:58,7,62,3,313.2,efectivo
178,2025-09-26,14:29,6,92,1,132.0,tarjeta
179,2026-03-31,17:52,2,53,2,142.8,app
180,2025-11-28,13:23,6,64,1,79.2,tarjeta 
